stream,scen,cca,run,data,duration,goodput,buffer,rtt
NewReno,4.10M,NewReno,1,209715200,2.770871,605485278,10,8
Cubic,4.10M,Cubic,1,209715200,6.314804,265680708,10,8
Yeah,4.10M,Yeah,1,209715200,10.825304,154981476,10,8
Westwood,4.10M,Westwood,1,209715200,11.326404,148124824,10,8
Vegas,4.10M,Vegas,1,209715200,13.292404,126216566,10,8
BBR,4.10M,BBR,1,209715200,9.618804,174421019,10,8
NewReno,4.10M,NewReno,2,209715200,2.653771,632202853,10,8
Cubic,4.10M,Cubic,2,209715200,6.712904,249924861,10,8
Yeah,4.10M,Yeah,2,209715200,9.492404,176743594,10,8
Westwood,4.10M,Westwood,2,209715200,9.992504,167898016,10,8
Vegas,4.10M,Vegas,2,209715200,11.074104,151499534,10,8
BBR,4.10M,BBR,2,10950800,19.882204,4406272,10,8
NewReno,4.10M,NewReno,3,209715200,2.645071,634282255,10,8
Cubic,4.10M,Cubic,3,209715200,6.942304,241666397,10,8
Yeah,4.10M,Yeah,3,209715200,10.554904,158951857,10,8
Westwood,4.10M,Westwood,3,209715200,10.691304,156923944,10,8
Vegas,4.10M,Vegas,3,209715200,12.818104,130886876,10,8
BBR,4.10M,BBR,3,209715200,12.535504,133837586,10,8
NewReno,4.10M,NewReno,4,209715200,2.659371,630871585,10,8
Cubic,4.10M,Cubic,4,209715200,6.728204,249356529,10,8
Yeah,4.10M,Yeah,4,209715200,9.674904,173409637,10,8
Westwood,4.10M,Westwood,4,209715200,10.021904,167405475,10,8
Vegas,4.10M,Vegas,4,209715200,11.057004,151733833,10,8
BBR,4.10M,BBR,4,10929800,19.889704,4396163,10,8
NewReno,4.10M,NewReno,5,209715200,2.781371,603199501,10,8
Cubic,4.10M,Cubic,5,209715200,5.638404,297552569,10,8
Yeah,4.10M,Yeah,5,209715200,9.639204,174051882,10,8
Westwood,4.10M,Westwood,5,209715200,10.126404,165677924,10,8
Vegas,4.10M,Vegas,5,209715200,10.969304,152946950,10,8
BBR,4.10M,BBR,5,10687600,19.868404,4303355,10,8
